#DB_VERSION: 1,,,,,,,,,,,,,,,,,,,,
#No,Connection_ID,Tag,Describe,LOW,HI,Unit,Device_ID,Comment,Station_ID,List_No,TestValue,TotalOffset,Chassis,Slot,Channel,OverLower(/100%),OverUpper(/100%),OverDeadZone,OverSettings,Type
#,,,,,,,,,,,,,,,,,,,,
#YJ5_38,,,,,,,,,,,,,,,,,,,,
68,1,Z5KRT034MA1,SG 1 COOLANT LEAK RATE,-1,3.69897,-,120,SIMHW_RPC,118,10596,-0.9999372,0x1502964,4,2,10,0.1,0.1,0,4,
69,1,Z5KRT034MA2,SG 1 STEAM AIR ACTIVITY,-0.30103,3.69897,-,120,SIMHW_RPC,118,10600,-0.3009766,0x1502968,4,2,11,0.1,0.1,0,4,
70,1,ZARE010MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10604,-2.75E-05,0x150296c,4,2,12,0.1,0.1,0,4,
71,1,ZARE020MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10608,-2.75E-05,0x1502970,4,2,13,0.1,0.1,0,4,
72,1,ZARE030MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10612,-2.75E-05,0x1502974,4,2,14,0.1,0.1,0,4,
73,1,ZARE043MD,SG1 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10616,0.6395668,0x1502978,4,2,15,0.1,0.1,0,4,
74,1,ZARE044MD,SG2 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10620,0.6381363,0x150297c,4,2,16,0.1,0.1,0,4,
75,1,ZARE045MD,SG3 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10640,0.6406159,0x1502990,4,3,1,0.1,0.1,0,4,
76,1,ZARE046MD,SG1 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10644,0.6395668,0x1502994,4,3,2,0.1,0.1,0,4,
77,1,ZARE047MD,SG2 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10648,0.6381363,0x1502998,4,3,3,0.1,0.1,0,4,
78,1,ZARE048MD,SG3 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10652,0.6406159,0x150299c,4,3,4,0.1,0.1,0,4,
79,1,ZARE049MD,GV1 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10656,1.000019,0x15029a0,4,3,5,0.1,0.1,0,4,
80,1,ZARE050MD,GV2 FEEDWATE R FLOW,0,1,-,120,SIMHW_RPC,118,10660,1.000019,0x15029a4,4,3,6,0.1,0.1,0,4,
81,1,ZARE051MD,GV3 FEEDWATER FLOW,0,1,-,120,SIMHW_RPC,118,10664,1.000019,0x15029a8,4,3,7,0.1,0.1,0,4,
82,1,ZARE052MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10668,-2.75E-05,0x15029ac,4,3,8,0.1,0.1,0,4,
83,1,ZARE053MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10672,-2.75E-05,0x15029b0,4,3,9,0.1,0.1,0,4,
84,1,ZARE054MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10676,-2.75E-05,0x15029b4,4,3,10,0.1,0.1,0,4,
85,1,ZARE055MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10680,-2.75E-05,0x15029b8,4,3,11,0.1,0.1,0,4,
86,1,ZARE056MN,RCP2GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10684,-2.75E-05,0x15029bc,4,3,12,0.1,0.1,0,4,
87,1,ZARE057MN,RCP3GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10688,-2.75E-05,0x15029c0,4,3,13,0.1,0.1,0,4,
88,1,ZARE058MN,RCP1GV WATER LVL NR,-1.8,1.8,m,120,SIMHW_RPC,118,10692,-2.75E-05,0x15029c4,4,3,14,0.1,0.1,0,4,
